TRANSACTION_TYPE;TRANSACTION_DATE;TRANSACTION_REFERENCE;MERCHANT;TOTAL
"Lodged GPC";"21/01/2013";"404082864";"Hogg Robinson Group Ltd";"2819.59"
"Lodged GPC";"22/01/2013";"404342352";"Hogg Robinson Group Ltd";"695.55"
"Lodged GPC";"22/01/2013";"404342355";"Hogg Robinson Group Ltd";"695.55"
"Lodged GPC";"22/01/2013";"404346920";"Hogg Robinson Group Ltd";"532.28"
"Lodged GPC";"22/01/2013";"404346648";"Hogg Robinson Group Ltd";"3024.39"
"Lodged GPC";"22/01/2013";"404346907";"Hogg Robinson Group Ltd";"634.99"
"Lodged GPC";"22/01/2013";"404346740";"Hogg Robinson Group Ltd";"529.15"
"Lodged GPC";"23/01/2013";"404623359";"Hogg Robinson Group Ltd";"-1210.09"
"Lodged GPC";"23/01/2013";"404623360";"Hogg Robinson Group Ltd";"-1210.09"
"Lodged GPC";"25/01/2013";"405020853";"Hogg Robinson Group Ltd";"1558.59"
"Lodged GPC";"25/01/2013";"405020849";"Hogg Robinson Group Ltd";"6697.89"
"Lodged GPC";"28/01/2013";"405508661";"Hogg Robinson Group Ltd";"1558.59"
"Lodged GPC";"29/01/2013";"405765363";"Hogg Robinson Group Ltd";"938.59"
"Lodged GPC";"29/01/2013";"406055757";"Hogg Robinson Group Ltd";"2455.52"
"Lodged GPC";"29/01/2013";"406055764";"Hogg Robinson Group Ltd";"2455.52"
"Lodged GPC";"29/01/2013";"405765368";"Hogg Robinson Group Ltd";"3028.9"
"Lodged GPC";"29/01/2013";"405765369";"Hogg Robinson Group Ltd";"3028.9"
"Lodged GPC";"29/01/2013";"406464781";"Hogg Robinson Group Ltd";"-2312.1"
"Lodged GPC";"31/01/2013";"406468307";"Hogg Robinson Group Ltd";"5217.79"
"Lodged GPC";"17/01/2013";"Statement 5 Feb 2013";"EC GROUP";"5122.8"
"Lodged GPC";"17/01/2013";"Statement 5 Feb 2013";"EC GROUP";"5122.8"
"Individual GPC";"7/2/13";"PCCL1697621";"CES MARKETING LTD";"612.0"
"Individual GPC";"7/2/13";"PCCL1697631";"CES MARKETING LTD";"612.0"
"Individual GPC";"7/3/13";"PCCL1703541";"SPEED COURIERS LTD";"777.54"
"Individual GPC";"7/8/13";"PCCL1707814";"ONLINE ERGONOMICS LTD";"930.0"
"Individual GPC";"7/8/13";"PCCL1707812";"BACKCARE SOLUTIONS LTD";"799.8"
"Individual GPC";"7/9/13";"PCCL1708108";"INSIGHT DIRECT UK LTD";"1927.97"
"Individual GPC";"7/9/13";"PCCL1707815";"ONLINE ERGONOMICS LTD";"1309.32"
"Individual GPC";"7/16/13";"PCCL1708099";"BANNER BUSINESS SERVICES";"902.2"
"Individual GPC";"7/17/13";"PCCL1707821";"BACKCARE SOLUTIONS LTD";"1505.99"
"Individual GPC";"7/20/13";"PCCL1708488";"HOTELS VAN ORANJE, NOORDWIJK";"1119.73"
"Individual GPC";"7/24/13";"PCCL1708529";"FT SOLUTIONS LTD";"2220.0"
"Individual GPC";"7/24/13";"PCCL1707825";"ONLINE ERGONOMICS LTD";"1020.0"
"Individual GPC";"7/24/13";"PCCL1707824";"ONLINE ERGONOMICS LTD";"880.79"
"Individual GPC";"7/25/13";"PCCL1707830";"MICHAEL LINNELL & COMPANY LTD";"524.4"
"Lodged GPC";"01/07/2013";"437000241";"HOGG ROBINSON GROUP LTD";"3486.87"
"Lodged GPC";"01/07/2013";"436761483";"HOGG ROBINSON GROUP LTD";"529.8"
"Lodged GPC";"05/07/2013";"437539550";"HOGG ROBINSON GROUP LTD";"1673.45"
"Lodged GPC";"08/07/2013";"438141815";"HOGG ROBINSON GROUP LTD";"-4273.25"
"Lodged GPC";"08/07/2013";"438397463";"HOGG ROBINSON GROUP LTD";"1682.22"
"Lodged GPC";"09/07/2013";"438397503";"HOGG ROBINSON GROUP LTD";"591.83"
"Lodged GPC";"12/07/2013";"439531485";"HOGG ROBINSON GROUP LTD";"975.22"
"Lodged GPC";"12/07/2013";"439531562";"HOGG ROBINSON GROUP LTD";"848.21"
"Lodged GPC";"12/07/2013";"439794044";"HOGG ROBINSON GROUP LTD";"848.21"
"Lodged GPC";"12/07/2013";"439531561";"HOGG ROBINSON GROUP LTD";"848.21"
"Lodged GPC";"12/07/2013";"439531575";"HOGG ROBINSON GROUP LTD";"552.02"
"Lodged GPC";"15/07/2013";"439794048";"HOGG ROBINSON GROUP LTD";"638.01"
"Lodged GPC";"15/07/2013";"439794047";"HOGG ROBINSON GROUP LTD";"638.01"
"Lodged GPC";"15/07/2013";"439794045";"HOGG ROBINSON GROUP LTD";"693.39"
"Lodged GPC";"15/07/2013";"439794046";"HOGG ROBINSON GROUP LTD";"693.39"
"Lodged GPC";"15/07/2013";"439794049";"HOGG ROBINSON GROUP LTD";"697.79"
"Lodged GPC";"15/07/2013";"439793879";"HOGG ROBINSON GROUP LTD";"542.27"
"Lodged GPC";"15/07/2013";"439793880";"HOGG ROBINSON GROUP LTD";"542.27"
"Lodged GPC";"17/07/2013";"440096541";"HOGG ROBINSON GROUP LTD";"518.69"
"Lodged GPC";"17/07/2013";"440441904";"HOGG ROBINSON GROUP LTD";"552.52"
"Lodged GPC";"18/07/2013";"440685796";"HOGG ROBINSON GROUP LTD";"1016.07"
"Lodged GPC";"18/07/2013";"440685797";"HOGG ROBINSON GROUP LTD";"1016.07"
"Lodged GPC";"19/07/2013";"440936365";"HOGG ROBINSON GROUP LTD";"-654.97"
"Lodged GPC";"19/07/2013";"440936374";"HOGG ROBINSON GROUP LTD";"575.99"
"Lodged GPC";"19/07/2013";"440936373";"HOGG ROBINSON GROUP LTD";"693.75"
"Lodged GPC";"19/07/2013";"440936376";"HOGG ROBINSON GROUP LTD";"4519.88"
"Lodged GPC";"19/07/2013";"440936375";"HOGG ROBINSON GROUP LTD";"4519.88"
"Lodged GPC";"23/07/2013";"441174545";"HOGG ROBINSON GROUP LTD";"569.33"
"Lodged GPC";"25/07/2013";"442049000";"HOGG ROBINSON GROUP LTD";"-2958.26"
"Lodged GPC";"25/07/2013";"441777150";"HOGG ROBINSON GROUP LTD";"518.69"
"Lodged GPC";"26/07/2013";"441712724";"HOGG ROBINSON GROUP LTD";"581.3"
"Lodged GPC";"29/07/2013";"442518584";"HOGG ROBINSON GROUP LTD";"2972.65"
"Lodged GPC";"29/07/2013";"442277286";"HOGG ROBINSON GROUP LTD";"699.8"
"Lodged GPC";"31/07/2013";"442746728";"HOGG ROBINSON GROUP LTD";"662.73"
"Lodged GPC";"7/19/13";"Statement 5th August 2013";"EC Group";"10246.94"
"Individual GPC";"6/4/13";"PCCL1690741";"KELWAY (UK) LTD";"839.61"
"Individual GPC";"6/4/13";"PCCL1686931";"XMA LTD";"1371.56"
"Individual GPC";"6/6/13";"PCCL1697231";"FIRA INTERNATIONAL DE BARCELONA";"627.6"
"Individual GPC";"6/10/13";"PCCL1696791";"ONLINE ERGONOMICS LTD";"964.8"
"Individual GPC";"6/14/13";"PCCL1701661";"TRADERS HOTEL";"548.95"
"Individual GPC";"6/14/13";"PCCL1696871";"KEY INDUSTRIAL EQUIPMENT";"1026.0"
"Individual GPC";"6/20/13";"PCCL1704831";"LLOYDSTSB COMMERCIAL";"759.42"
"Individual GPC";"6/25/13";"PCCL1697001";"ONLINE ERGONOMICS LTD";"784.2"
"Individual GPC";"6/25/13";"PCCL1697021";"WWW.ERONOMICS.CO.UK";"510.0"
"Individual GPC";"6/26/13";"PCCL1697491";"SOUTH EAST DRAWING OFFICE";"665.56"
"Individual GPC";"6/3/13";"430814919";"HOGG ROBINSON GROUP LTD";"773.8"
"Individual GPC";"6/3/13";"430814920";"HOGG ROBINSON GROUP LTD";"552.8"
"Individual GPC";"6/4/13";"431384003";"HOGG ROBINSON GROUP LTD";"646.29"
"Individual GPC";"6/7/13";"431742570";"HOGG ROBINSON GROUP LTD";"1655.95"
"Individual GPC";"6/7/13";"431742571";"HOGG ROBINSON GROUP LTD";"1655.95"
"Lodged GPC";"6/7/13";"432290027";"HOGG ROBINSON GROUP LTD";"1897.14"
"Lodged GPC";"6/10/13";"433190984";"HOGG ROBINSON GROUP LTD";"753.6"
"Lodged GPC";"6/12/13";"433190964";"HOGG ROBINSON GROUP LTD";"1944.17"
"Lodged GPC";"6/14/13";"433190962";"HOGG ROBINSON GROUP LTD";"519.11"
"Lodged GPC";"6/14/13";"433191225";"HOGG ROBINSON GROUP LTD";"4189.65"
"Lodged GPC";"6/17/13";"433824897";"HOGG ROBINSON GROUP LTD";"1084.65"
"Lodged GPC";"6/19/13";"434773678";"HOGG ROBINSON GROUP LTD";"-591.0"
"Lodged GPC";"6/19/13";"434773670";"HOGG ROBINSON GROUP LTD";"-591.0"
"Lodged GPC";"6/19/13";"434774562";"HOGG ROBINSON GROUP LTD";"512.21"
"Lodged GPC";"6/19/13";"434367732";"HOGG ROBINSON GROUP LTD";"571.34"
"Lodged GPC";"6/20/13";"435003070";"HOGG ROBINSON GROUP LTD";"-6623.05"
"Lodged GPC";"6/21/13";"434747478";"HOGG ROBINSON GROUP LTD";"1090.45"
"Lodged GPC";"6/21/13";"434631526";"HOGG ROBINSON GROUP LTD";"1263.6"
"Lodged GPC";"6/21/13";"434747477";"HOGG ROBINSON GROUP LTD";"5475.45"
"Lodged GPC";"6/24/13";"435261080";"HOGG ROBINSON GROUP LTD";"1289.45"
"Lodged GPC";"6/24/13";"435547247";"HOGG ROBINSON GROUP LTD";"-6623.05"
"Lodged GPC";"6/25/13";"435845513";"HOGG ROBINSON GROUP LTD";"553.46"
"Lodged GPC";"6/25/13";"435845560";"HOGG ROBINSON GROUP LTD";"-6235.15"
"Lodged GPC";"6/25/13";"435845561";"HOGG ROBINSON GROUP LTD";"-6235.15"
"Lodged GPC";"6/26/13";"435845535";"HOGG ROBINSON GROUP LTD";"557.92"
"Lodged GPC";"6/26/13";"436240604";"HOGG ROBINSON GROUP LTD";"511.1"
"Lodged GPC";"26/06/2013";"436240605";"HOGG ROBINSON GROUP LTD";"511.1"
"Lodged GPC";"6/27/13";"436465876";"HOGG ROBINSON GROUP LTD";"681.83"
"Lodged GPC";"6/27/13";"436465875";"HOGG ROBINSON GROUP LTD";"746.79"
"Lodged GPC";"6/28/13";"436232317";"HOGG ROBINSON GROUP LTD";"-4273.25"
"Lodged GPC";"6/28/13";"436232318";"HOGG ROBINSON GROUP LTD";"-4273.25"
"Lodged GPC";"6/28/13";"436232332";"HOGG ROBINSON GROUP LTD";"1630.45"
"Lodged GPC";"6/28/13";"436764044";"HOGG ROBINSON GROUP LTD";"893.06"
"Lodged GPC";"6/14/13";"Statement 5th July 2013";"EC Group";"8193.69"
"Lodged GPC";"6/30/13";"Statement 5th July 2013";"EC Group";"862.78"
"Individual GPC";"3/1/13";"PCCL1661011";"MARKET LOCK & SAFE LTD";"603.72"
"Individual GPC";"3/1/13";"PCCL1661021";"ONLINE ERGONOMICS  LTD";"888.54"
"Individual GPC";"3/1/13";"PCCL1663031";"CJS EVENT SOLUTIONS";"922.5"
"Individual GPC";"3/6/13";"PCCL1669271";"SIMPLY ERGONOMIC LTD";"1414.8"
"Individual GPC";"3/9/13";"PCCL1677401";"HOTELS VAN ORANJE";"1072.07"
"Individual GPC";"3/11/13";"PCCL1676281";"STARGAZER CAFE";"522.34"
"Individual GPC";"3/12/13";"PCCL1670161";"FINANCIAL TIMES";"598.0"
"Individual GPC";"3/19/13";"PCCL1672681";"ISTORAGE LTD";"2155.2"
"Individual GPC";"3/19/13";"PCCL1669331";"ONLINE ERGONOMICS LTD";"802.8"
"Individual GPC";"3/19/13";"PCCL1669341";"ONLINE ERGONOMICS LTD";"828.0"
"Individual GPC";"3/20/13";"PCCL1673521";"CATALYZE LTD";"2220.0"
"Individual GPC";"3/20/13";"PCCL1672731";"VENTANA SYSTSTEMS LTD";"1606.8"
"Individual GPC";"3/20/13";"PCCL1672741";"VENTANA SYSTSTEMS LTD";"1606.8"
"Individual GPC";"3/20/13";"PCCL1672691";"ADOBE SYSTEMS";"1794.57"
"Individual GPC";"3/21/13";"PCCL1673531";"TIMBERLAKE CONSULTANCY";"2800.8"
"Individual GPC";"3/23/13";"PCCL1672621";"BANNER BUSINESS SUPPLIES";"644.02"
"Individual GPC";"3/26/13";"PCCL1669941";"INSTITUTE OF FISCAL STUDIES";"720.0"
"Lodged GPC";"01/03/2013";"412128732";"Hogg Robinson Group Ltd";"949.76"
"Lodged GPC";"01/03/2013";"412119310";"Hogg Robinson Group Ltd";"1621.19"
"Lodged GPC";"01/03/2013";"412128866";"Hogg Robinson Group Ltd";"1927.45"
"Lodged GPC";"04/03/2013";"412792294";"Hogg Robinson Group Ltd";"1202.12"
"Lodged GPC";"04/03/2013";"412792296";"Hogg Robinson Group Ltd";"1202.12"
"Lodged GPC";"04/03/2013";"412792297";"Hogg Robinson Group Ltd";"1202.12"
"Lodged GPC";"05/03/2013";"412792356";"Hogg Robinson Group Ltd";"1181.0"
"Lodged GPC";"06/03/2013";"413218817";"Hogg Robinson Group Ltd";"866.39"
"Lodged GPC";"06/03/2013";"413218816";"Hogg Robinson Group Ltd";"863.39"
"Lodged GPC";"06/03/2013";"413218818";"Hogg Robinson Group Ltd";"863.39"
"Lodged GPC";"06/03/2013";"413218819";"Hogg Robinson Group Ltd";"863.39"
"Lodged GPC";"06/03/2013";"413620785";"Hogg Robinson Group Ltd";"843.85"
"Lodged GPC";"06/03/2013";"415374754";"Hogg Robinson Group Ltd";"1269.95"
"Lodged GPC";"06/03/2013";"413218826";"Hogg Robinson Group Ltd";"534.93"
"Lodged GPC";"08/03/2013";"413617112";"Hogg Robinson Group Ltd";"1730.99"
"Lodged GPC";"08/03/2013";"413625684";"Hogg Robinson Group Ltd";"606.3"
"Lodged GPC";"08/03/2013";"414152057";"Hogg Robinson Group Ltd";"4077.56"
"Lodged GPC";"08/03/2013";"414152058";"Hogg Robinson Group Ltd";"4077.56"
"Lodged GPC";"12/03/2013";"414396919";"Hogg Robinson Group Ltd";"3111.25"
"Lodged GPC";"12/03/2013";"414396920";"Hogg Robinson Group Ltd";"3111.25"
"Lodged GPC";"12/03/2013";"414702658";"Hogg Robinson Group Ltd";"591.0"
"Lodged GPC";"12/03/2013";"414702660";"Hogg Robinson Group Ltd";"591.0"
"Lodged GPC";"12/03/2013";"414403034";"Hogg Robinson Group Ltd";"6623.05"
"Lodged GPC";"12/03/2013";"414403035";"Hogg Robinson Group Ltd";"6623.05"
"Lodged GPC";"14/03/2013";"415375174";"Hogg Robinson Group Ltd";"895.44"
"Lodged GPC";"14/03/2013";"415096746";"Hogg Robinson Group Ltd";"514.16"
"Lodged GPC";"15/03/2013";"415106690";"Hogg Robinson Group Ltd";"1274.45"
"Lodged GPC";"18/03/2013";"415657332";"Hogg Robinson Group Ltd";"1274.45"
"Lodged GPC";"21/03/2013";"416565722";"Hogg Robinson Group Ltd";"1564.85"
"Lodged GPC";"22/03/2013";"416845196";"Hogg Robinson Group Ltd";"3746.45"
"Lodged GPC";"25/03/2013";"417096045";"Hogg Robinson Group Ltd";"-582.55"
"Lodged GPC";"25/03/2013";"417385999";"Hogg Robinson Group Ltd";"564.48"
"Lodged GPC";"25/03/2013";"417386000";"Hogg Robinson Group Ltd";"564.48"
"Lodged GPC";"26/03/2013";"417586587";"Hogg Robinson Group Ltd";"770.56"
"Lodged GPC";"28/03/2013";"418378565";"Hogg Robinson Group Ltd";"599.04"
"Lodged GPC";"28/03/2013";"417753673";"Hogg Robinson Group Ltd";"5955.25"
"Lodged GPC";"28/03/2013";"417753674";"Hogg Robinson Group Ltd";"5955.25"
"Lodged GPC";"28/03/2013";"418378462";"Hogg Robinson Group Ltd";"541.65"
"Lodged GPC";"28/03/2013";"417753669";"Hogg Robinson Group Ltd";"587.8"
"Lodged GPC";"28/03/2013";"417753670";"Hogg Robinson Group Ltd";"587.8"
"Lodged GPC";"28/03/2013";"418378467";"Hogg Robinson Group Ltd";"541.65"
"Lodged GPC";"3/12/13";"Statement 5 Apr 2013";"EC Group";"9529.86"
"Lodged GPC";"3/31/13";"Statement 5 Apr 2013";"EC Group";"2304.85"
"Individual GPC";"5/3/13";"PCCL1690591";"MISCO UK LTD";"673.36"
"Individual GPC";"5/8/13";"PCCL1687301";"CES MARKETING LTD";"622.2"
"Individual GPC";"5/8/13";"PCCL1687451";"UK BORDER AGENCY";"515.0"
"Individual GPC";"5/14/13";"PCCL1690641";"GOVNET COMMUNICATIONS";"816.0"
"Individual GPC";"5/15/13";"PCCL1690661";"MISCO UK LTD";"892.48"
"Individual GPC";"5/15/13";"PCCL1690481";"BANNER BUSINESS SERVICES";"729.04"
"Individual GPC";"5/16/13";"PCCL1686741";"ONLINE ERGONOMICS LTD";"1233.0"
"Individual GPC";"5/17/13";"PCCL1690681";"AMAZON MARKETPLACE";"1749.0"
"Individual GPC";"5/23/13";"PCCL1689021";"THE NEWSPAPER LICENSING AGENCY LTD";"1113.93"
"Individual GPC";"5/28/13";"PCCL1686851";"ONLINE ERGONOMICS LTD";"990.6"
"Individual GPC";"5/28/13";"PCCL1686841";"KEY INDUSTRIAL EQUIPMENT";"660.0"
"Individual GPC";"5/29/13";"PCCL1686881";"POSTURITE (UK) LTD";"907.04"
"Lodged GPC";"02/05/2013";"425147839";"HOGG ROBINSON GROUP LTD";"827.06"
"Lodged GPC";"02/05/2013";"425390693";"HOGG ROBINSON GROUP LTD";"623.04"
"Lodged GPC";"02/05/2013";"424751969";"HOGG ROBINSON GROUP LTD";"621.43"
"Lodged GPC";"02/05/2013";"425147841";"HOGG ROBINSON GROUP LTD";"715.61"
"Lodged GPC";"07/05/2013";"425394569";"HOGG ROBINSON GROUP LTD";"-949.76"
"Lodged GPC";"07/05/2013";"425638101";"HOGG ROBINSON GROUP LTD";"519.53"
"Lodged GPC";"07/05/2013";"425638093";"HOGG ROBINSON GROUP LTD";"508.97"
"Lodged GPC";"09/05/2013";"426031012";"HOGG ROBINSON GROUP LTD";"502.4"
"Lodged GPC";"09/05/2013";"426031024";"HOGG ROBINSON GROUP LTD";"4486.95"
"Lodged GPC";"14/05/2013";"427568887";"HOGG ROBINSON GROUP LTD";"-3908.35"
"Lodged GPC";"14/05/2013";"427568888";"HOGG ROBINSON GROUP LTD";"-3908.35"
"Lodged GPC";"15/05/2013";"427146755";"HOGG ROBINSON GROUP LTD";"622.4"
"Lodged GPC";"15/05/2013";"427146748";"HOGG ROBINSON GROUP LTD";"554.2"
"Lodged GPC";"15/05/2013";"427146749";"HOGG ROBINSON GROUP LTD";"554.2"
"Lodged GPC";"15/05/2013";"427568932";"HOGG ROBINSON GROUP LTD";"715.61"
"Lodged GPC";"15/05/2013";"427568933";"HOGG ROBINSON GROUP LTD";"825.17"
"Lodged GPC";"16/05/2013";"428102497";"HOGG ROBINSON GROUP LTD";"-1126.78"
"Lodged GPC";"16/05/2013";"428102498";"HOGG ROBINSON GROUP LTD";"-1126.78"
"Lodged GPC";"16/05/2013";"428102499";"HOGG ROBINSON GROUP LTD";"-1126.78"
"Lodged GPC";"17/05/2013";"428373260";"HOGG ROBINSON GROUP LTD";"564.06"
"Lodged GPC";"17/05/2013";"427580062";"HOGG ROBINSON GROUP LTD";"538.5"
"Lodged GPC";"17/05/2013";"427580061";"HOGG ROBINSON GROUP LTD";"706.5"
"Lodged GPC";"24/05/2013";"429424889";"HOGG ROBINSON GROUP LTD";"647.11"
"Lodged GPC";"20/05/2013";"428373272";"HOGG ROBINSON GROUP LTD";"545.9"
"Lodged GPC";"24/05/2013";"428804497";"HOGG ROBINSON GROUP LTD";"579.41"
"Lodged GPC";"20/05/2013";"428102523";"HOGG ROBINSON GROUP LTD";"507.57"
"Lodged GPC";"17/05/2013";"428373236";"HOGG ROBINSON GROUP LTD";"3133.61"
"Lodged GPC";"17/05/2013";"427563143";"HOGG ROBINSON GROUP LTD";"3216.8"
"Lodged GPC";"17/05/2013";"428373232";"HOGG ROBINSON GROUP LTD";"3133.61"
"Lodged GPC";"17/05/2013";"427563142";"HOGG ROBINSON GROUP LTD";"3216.8"
"Lodged GPC";"21/05/2013";"428373537";"HOGG ROBINSON GROUP LTD";"3691.15"
"Lodged GPC";"28/05/2013";"429886622";"HOGG ROBINSON GROUP LTD";"509.9"
"Lodged GPC";"29/05/2013";"429886438";"HOGG ROBINSON GROUP LTD";"513.2"
"Lodged GPC";"20/05/2013";"428373278";"HOGG ROBINSON GROUP LTD";"556.16"
"Lodged GPC";"30/05/2013";"430553940";"HOGG ROBINSON GROUP LTD";"1174.32"
"Lodged GPC";"30/05/2013";"430332284";"HOGG ROBINSON GROUP LTD";"2991.25"
"Lodged GPC";"30/05/2013";"430332281";"HOGG ROBINSON GROUP LTD";"1063.01"
"Lodged GPC";"30/05/2013";"430332282";"HOGG ROBINSON GROUP LTD";"1063.01"
"Lodged GPC";"5/22/13";"Statement 5 June 2013";"EC Group";"9530.29"
